,Tipo,Propiedad,Acción,Habitaciones,Baños,Parqueaderos,Área construída,Área privada,Estrato,Estado,Piso N°,Antigüedad,Administración,Precio m²,Dirección,Barrio,Ciudad,Departamento,Características,Precio (COP),Descripción general,No. Fotos,Fecha Sacada,Enlace,Acceso Pavimentado,Anuncio publicado por:,Ascensor,Balcón,Baño Auxiliar,Baño Independiente,Calentador,Citófono,Closet,Cocina Integral,En conjunto cerrado,Garaje / Parqueadero(s),Garaje(s),Instalación de gas,Parqueadero Visitantes,[,],Acceso Pavimentado,Ascensor,Balcón,Baño Auxiliar,Baño Independiente,Calentador,Citófono,Closet,Cocina Integral,En conjunto cerrado,Garaje / Parqueadero(s),Garaje(s),Instalación de gas
10,Usado,Casa,venta,11,6.0,1.0,210.0,0.0,2,,4.0,9 a 15 años,0.0,1809523.81,Cll56h sur #88h-58,Bogotá,Bogotá,,[],380000000,"Hermosa casa en venta de 4 piso rentable con 3 apartamentos independientes para arriendo
terminados, un duplex con excelentes acabados y un parqueadero. Queda a pocas cuadras de vías principales y de vías comerciales",13,2023-04-23 19:07:24.671788,https://www.fincaraiz.com.co/inmueble/casa-en-venta/bogota/bogota-dc/10054161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11,Usado,Casa,venta,4,2.0,,,,2,,2.0,ás de 30 años,0.0,1166380.79,carrera 7 A este No 45 A -58 SUR,Bogotá,Bogotá,,"['Balcón', 'Patio', 'Sobre vía principal', 'Trans. Público cercano']",170000000,"Casa de 2 plantas mas lote,  4 habitaciones , 2 baños , 1 cocina, ubicada en avenida principal,",9,2023-04-23 19:07:26.192822,https://www.fincaraiz.com.co/inmueble/casa-en-venta/bogota/bogota-dc/10055962,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12,Usado,Casa,venta,5,3.0,1.0,95.0,95.0,,,3.0,16 a 30 años,0.0,1684210.53,AURORA SEGUNDO SECTOR,Código Fincaraíz: 10063008,Bogotá,,[],160000000,"¡OPORTUNIDAD! Casa en Venta rentable de tres niveles Barrio La Aurora Localidad Usme, cada apartamento es independiente. Acceso a todas las vías principales, a 5 minutos del Portal de Usme y Centro Comercial Altavista. Cuenta con todos los servicios, Estrato 2.",20,2023-04-23 19:07:27.817452,https://www.fincaraiz.com.co/inmueble/casa-en-venta/bogota/bogota-dc/10063008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
13,Usado,Casa,venta,3,1.0,,,0.0,1,,1.0,1 a 8 años,0.0,1236891.64,Calle 114 sur # 7F este -21,Bogotá,Bogotá,,[],92000000,"Se vende casa en el barrio puerta al llano, consta de 3 alcobas,  baño enchapado, cocina enchapada, patio de ropas enchapado, sala comedor y fachada enchapada.
Se encuentra ubicada a una cuadra de la via principal, comercio y paraderos del SITP.
$92'000.000 negociables
Interesados llamar: 3132639604- 3234862733.",19,2023-04-23 19:07:29.318279,https://www.fincaraiz.com.co/inmueble/casa-en-venta/bogota/bogota-dc/10057640,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Usado,Apartamento,venta,2,3.0,2.0,90.0,87.0,6,,2.0,16 a 30 años,672000.0,5555555.56,CR 19 B 85 54,Bogotá,Bogotá,,"['Ascensor', 'Garaje(s)', 'Vigilancia', 'Calentador', 'Citófono', 'Cocina Integral', 'Depósito / Bodega', 'Estudio', 'Zona de lavandería', 'Parques cercanos', 'Supermercados / C.Comerciales', 'Trans. Público cercano']",500000000,"Apartamento lindo, exterior, con excelente luz, pisos en madera laminada
Posee sala comedor unida.
Cocina integral, patio de ropas, baño de servicio.
La zona de lavandería se expandió utilizando el cuarto de servicio, si se requier se puede volver a convertir en cuarto de servicio.
Dos habitaciones, la principal con baño  y walk in coset, un baño para la otra alcoba,
Un estudio que anteriormente era habitación.
Terraza comunal con uso exclusivopara dos apartamentos
Dos parqueaderos, zona de parqueo para bicicletas
Ubicado en el Antiguo Country",6,2023-04-23 19:07:30.870119,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10053954,0,0,1,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,1,0,1,0,0,1,0
15,Usado,Casa,venta,2,1.0,1.0,60.0,0.0,2,,2.0,9 a 15 años,42000.0,2833333.33,Carrera 103 # 75 - 56 Sur,Bogotá,Bogotá,,[],170000000,"Casa Semicomercial Conjunto Villas de Vizcaya, ubicación externa para negocio, a una cuadra del Nuevo hospital de Bosa, Colegios, Comercio alrededor , excelente valorización, Papeles al dia, Venta Directa",11,2023-04-23 19:07:32.411438,https://www.fincaraiz.com.co/inmueble/casa-en-venta/bogota/bogota-dc/10031406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16,Usado,Apartamento,venta,3,2.0,1.0,57.0,,4,,1.0,9 a 15 años,220000.0,5175438.6,Calle 25 # 72  80  int 17 apto 104 Tarragona de salitre,Bogotá,Bogotá,,"['En conjunto cerrado', 'Garaje(s)', 'Vigilancia', 'Colegios / Universidades', 'Parques cercanos', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zona Residencial']",295000000,"Apartamento en Tarragona de Salitre primer sector, excelentes condiciones y acabados, conjunto cerrado, vigilancia 24/7, 3 habitaciones con closet cada una, 2 baños enchapados,  cocina.piso laminado, cortinas.  buena ubicación de fácil acceso, cerca avenida Boyacá, con esperanza, Calle 26, Normandía, Aeropuerto, centros comerciales, supermercados, zona escolar.
se estará mostrando el apto con cita previa los días sábados de 9 am. a 12m.   PRECIO NEGOCIABLE",9,2023-04-23 19:07:33.929942,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10013622,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
17,Usado,Apartamento,venta,3,1.0,1.0,57.0,56.0,,,5.0,1 a 8 años,70000.0,2959649.12,Código Fincaraíz: 10073093,Código Fincaraíz: 10073093,Bogotá,,"['En conjunto cerrado', 'Parqueadero Visitantes', 'Planta Eléctrica', 'Portería / Recepción', 'Salón Comunal', 'Terraza', 'Vigilancia', 'Vivienda Multifamiliar', 'Zona Infantil', 'Zonas Verdes', 'Citófono', 'Cocina Integral']",168700000,"Detalles del inmueble:

Nombre del conjunto: Las Margaritas 2
Dirección:Calle 45A # 88C-98 Sur
Barrio: Las Margaritas
Antiguedad: 7
Estrato: 3
Piso: 5
Torre: 10
Remodelado: Sí
Número de apartamento: 503
Ascensor: no
Depósito: No",16,2023-04-23 19:07:35.477913,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10073093,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0
18,Usado,Apartamento,venta,3,2.0,,52.0,0.0,3,,10.0,,72000.0,2653846.15,CARRERA 98 # 0,Bogotá,Bogotá,,[],138000000,Se vende apartamento parque central Tintal 2 excelente estado acabados de lujo,11,2023-04-23 19:07:37.022845,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10039299,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Usado,Apartamento,venta,Código Fincaraíz: 10058819,,,66.0,0.0,,,3.0,Código Fincaraíz: 10058819,0.0,4848484.85,Calle 63B BIS # 85,Bogotá,Bogotá,,[],320000000,"Venta Apartamento en villa luz*🏩
Calle 63B Bis 85-15 

Descripción General 

Hermoso apartamento 
🛌🏻•Habitaciones.        3
🚿•Baños.                     1
📐•Área construida.   66
📊•Estrato.                    3
🕰️•Antigüedad.20 a 30 años
🛕•Salón social.          1
🎡•parque para niños  1
🏕️ •zona BBQ.              1
💡•Administración $215600
🚘•Parqueadero. Comunal 

• Encuentra este hermoso apartamento cerca a los centros comerciales Nuestro Bogotá, Salitre, Titan, Hayuelos, Gran Estacion además almacenes de cadena homcenter y Metro.
Vias de acceso calle 63, calle 68 Avenida cali, Avenida boyaca, alrededor de un parque con zonas verdes, excelente ubicación y un sector clave de valorización.",20,2023-04-23 19:07:38.543791,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10058819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Usado,Apartamento,venta,3,2.0,,48.0,0.0,3,,6.0,1 a 8 años,90000.0,3854166.67,Calle 59 sur # 62- 84,Bogotá,Bogotá,,[],185000000,"Vendo apartamento, excelente ubicación.",7,2023-04-23 19:07:40.097194,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10064556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Usado,Apartamento,venta,2,1.0,,28.0,28.0,2,Excelente,3.0,1 a 8 años,1000.0,4428571.43,CARRERA 12 F 22 B SUR 66,Bogotá,Bogotá,,"['Vivienda Multifamiliar', 'Calentador', 'Cocina Integral', 'Instalación de gas', 'Colegios / Universidades', 'Parques cercanos', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Zona Comercial', 'Zona Residencial']",124000000,Apartamento 3er piso propiedad horizontal ubicado en el barrio en San Jose Localidad Antonio Nariño presenta dos habitaciones si desea una sala comedor más amplia se puede suspender una habitación sala comedor cocina semi integral y baño calentador de agua a gas natural techos en drywall  VALOR DEL APARTAMENTO 125.000.000 NEGOCIABLE,4,2023-04-23 19:07:41.602725,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/7714084,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1
22,Usado,Casa,venta,2,1.0,,46.0,0.0,2,,2.0,16 a 30 años,50000.0,2717391.3,El tintal primavera,Bogotá,Bogotá,,[],125000000,"Casa esquinera en excelente estado en conjunto residencial. Excelente iluminación Plancha lista para construir 3 y 4 piso. Creciente valorización, en construcción avenida guayacanes.",11,2023-04-23 19:07:43.095914,https://www.fincaraiz.com.co/inmueble/casa-en-venta/bogota/bogota-dc/10034598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Usado,Apartamento,venta,3,1.0,,,0.0,2,,10.0,1 a 8 años,98000.0,2924968.21,Transversal 97A # 2-70,Bogotá,Bogotá,,[],138000000,"Espectacular apartamento, ubicado en zona residencial de Bogotá, Kennedy, ubicado en piso 10 con doble ascensor, vista interior. inmueble tiene excelente iluminación y ventilación, 3 habitaciones, 1 baño, con cocina semí integral, amplia sala comedor y zona de ropas.

$ 138.000.000
Para mas informacion llamar al 3164411857 o escribir al WhatsApp +64 0221003882",9,2023-04-23 19:07:44.583137,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10028250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Usado,Casa,venta,10,5.0,5.0,522.0,522.0,5,,3.0,9 a 15 años,0.0,4022988.51,tranversal 55B - 115A - 56.,Bogotá,Bogotá,,[],2100000000,"Linda casa Ilarco Para para uso empresarial, 522 metros excelente ubicación cerca a la calle 116 y avenida suba, tres pisos de oficinas con divisiones en vidrio,  cafetería baños, balcón ,amplios parqueaderos.",9,2023-04-23 19:07:46.070899,https://www.fincaraiz.com.co/inmueble/casa-en-venta/bogota/bogota-dc/10047856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Usado,Casa,venta,2,1.0,,42.0,42.0,3,,3.0,9 a 15 años,74000.0,4488095.24,cll 70  96-34,Bogotá,Bogotá,,"['En conjunto cerrado', 'Garaje(s)', 'Gimnasio', 'Portería / Recepción', 'Salón Comunal', 'Vigilancia', 'Zona Infantil', 'Zonas Verdes', 'Cocina Integral', 'Instalación de gas', 'Colegios / Universidades', 'Parques cercanos']",188500000,"Precio negociable casa de 3 niveles 2 habt 1 baño lista para disfrutar  remodelada el conjunto cuenta con salon social con parque niños con zonas verdes con bbq y centro comercial y colegios y transporte publico cerca acceso   
 cll 72 y cll80 y cll 26",4,2023-04-23 19:08:52.665808,https://www.fincaraiz.com.co/inmueble/casa-en-venta/bogota/bogota-dc/10048695,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1
26,Duplex,Apartamento,venta,4,5.0,4.0,183.0,183.0,5,,10.0,enor a 1 año,800000.0,8743169.4,Carrera 79 # 20 26,Bogotá,Bogotá,,"['Ascensor', 'Circuito cerrado de TV', 'En conjunto cerrado', 'Garaje(s)', 'Gimnasio', 'Oficina de negocios', 'Aire Acondicionado', 'Alarma', 'Balcón', 'Baño Auxiliar', 'Barra estilo americano', 'Calentador']",1600000000,"Hermoso apartamento duplex para estrenar, cuenta con 4 habitaciones todas con baño, cuatro parqueaderos y amplia zona social con chimenea y linda cocina tipo americano con todos los elestrodómesticos.
Ademas de todas las amanidades del condominio La reserva de la felicidad,pisos 10 y 11 con excelente vista.",18,2023-04-23 19:08:54.196126,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10028772,0,0,1,1,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,1,1,0,1,0,0,0,1,0,1,0
27,Inmobiliaria,Apartamento,venta,2,1.0,,46.0,46.0,3,,10.0,1 a 8 años,73000.0,2984782.61,,,Bogotá,,"['Ascensor', 'Vigilancia', 'Zona Infantil', 'Zonas Verdes', 'Balcón', 'Instalación de gas', 'Zona de lavandería', 'Supermercados / C.Comerciales', 'Trans. Público cercano', 'Anuncio publicado por:', 'Laso Fincaraiz SAS', 'hace 2024 años']",137300000,"Apartamento en venta de 46m2, con vista interior, ubicado en un 10mo piso (Torre 1 Apto 1001), acceso por ascensor. Consta de 2 habitaciones, 1 baño, sala comedor, cocina integral, balcón (2,35m2) y zona de lavandería. Tiene piso laminado en habitaciones, zona social y cerámico en baño y cocina. El conjunto cuenta con salón comunal, zona social y vigilancia privada las 24 horas. Cerca a centro comercial Metro Bosa; cerca a almacenes de cadena como D1, Surtimax; cerca a colegio Giovanni Antonio Farina; cerca a rutas alimentadoras paraderos de SITP; vías de acceso por carrera 88i y calle 54c sur.",17,2023-04-23 19:08:55.748696,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10050378,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1
28,Usado,Apartamento,venta,3,2.0,1.0,48.0,0.0,4,,12.0,9 a 15 años,218000.0,4583333.33,Cra14b # 161-54,Bogotá,Bogotá,,[],220000000,"Excelente ubicación, vista exterior hacia los cerror, cerca a reconocida clinica, facil vias de acceso. Piso en porcelanato, unico dueño",16,2023-04-23 19:08:57.300070,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10062540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Usado,Apartamento,venta,2,1.0,,46.0,46.0,,,5.0,Código Fincaraíz: 10035915,62000.0,2282608.7,calle 54 sur # 104-44,Bogotá,Bogotá,,"['En conjunto cerrado', 'Parqueadero Visitantes', 'Portería / Recepción', 'Salón Comunal', 'Vigilancia', 'Vivienda Multifamiliar', 'Zona Infantil', 'Zonas Verdes', 'Calentador', 'Instalación de gas', 'Piso en Baldosa /  Mármol', 'Zona de lavandería']",105000000,"VENDO cómodo y económico Apartamento ubicado en el conjunto alameda del porvenir 1localidad de Bosa, muy iluminado pisos en baldosa, cocina semi integral. Quinto piso exterior “PRECIO DE OPORTUNIDAD” Llame y agende su cita “YA”. 
Consta de:  2 alcobas,1 baño, cocina semi integral, Sala comedor pisos en baldosa. v/administración$62.000 precio 105´000.000 Negociables.
Antigüedad 12 años. Estrato 2     46 m2",14,2023-04-23 19:08:58.891620,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10035915,0,0,0,0,0,0,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
30,Usado,Apartamento,venta,3,1.0,,55.0,0.0,2,,2.0,9 a 15 años,55000.0,1727272.73,Cll 74 A sur 92 71,Bogotá,Bogotá,,[],95000000,"VENDO DIRECTAMENTE apartamento en bosa recreo de 3 habitaciones, 1 baño, sala comedor, cocina,.zona de lavanderia, parqueadero comunal, 2do piso.
Info 3144809584",4,2023-04-23 19:09:00.406522,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10031365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
31,Usado,Apartamento,venta,4,2.0,1.0,82.0,0.0,3,,3.0,16 a 30 años,150000.0,4390243.9,Calle 89a # 116A,Bogotá,Bogotá,,[],360000000,"Excelente apto duplex de tres niveles , parqueadero propio con depósitos",14,2023-04-23 19:09:01.921893,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10029186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
32,Usado,Apartamento,venta,3,2.0,1.0,57.0,0.0,4,,12.0,enor a 1 año,0.0,6140350.88,Carrera 78 #16D-71,Bogotá,Bogotá,,[],350000000,"Apartamento con 7 meses de uso por propietarios. Consta con puerta principal de seguridad, cocina tipo américa abierta, zona de ropas con espacio para lavadora y secadora, sala comedor, tres habitaciones, 2 de ellas con closet, la habitación principal tiene su bañov",11,2023-04-23 19:09:03.448034,https://www.fincaraiz.com.co/inmueble/apartamento-en-venta/bogota/bogota-dc/10038603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
